trade_date,close,open,high,low,vol,pct_chg
20110513,3128.09,3105.30,3128.44,3080.19,46900.0,0.0085
20110516,3100.46,3120.44,3137.60,3098.78,45190.0,-0.0088
20110517,3116.03,3097.07,3136.23,3076.95,51200.0,0.005
20110518,3139.38,3109.29,3145.70,3106.55,39640.0,0.0075
20110519,3120.64,3148.35,3154.93,3118.62,43110.0,-0.006
20110520,3121.60,3120.58,3133.43,3113.27,38470.0,0.0003
20110523,3022.98,3115.31,3115.31,3021.45,55900.0,-0.0316
20110524,3026.22,3013.72,3029.75,2999.89,41610.0,0.0011
20110525,2990.34,3020.32,3030.99,2988.09,39290.0,-0.011899999999999999
20110526,2978.38,3011.47,3021.20,2977.60,37000.0,-0.004
20110527,2963.31,2980.72,2996.61,2962.07,42770.0,-0.0051
20110530,2954.51,2956.57,2982.58,2942.36,34670.0,-0.003
20110531,3001.56,2958.61,3001.73,2946.15,39690.0,0.0159
20110601,3004.17,2996.09,3006.56,2985.71,38420.0,0.0009
20110602,2955.70,2970.63,2984.49,2923.02,52620.0,-0.0161
20110603,2986.35,2951.58,2993.89,2951.20,39080.0,0.0104
20110607,3004.26,2977.68,3006.57,2974.36,36850.0,0.006
20110608,3008.65,3003.58,3012.81,2965.92,42910.0,0.0015
20110609,2951.89,3000.40,3004.06,2951.89,47500.0,-0.0189
20110610,2961.93,2947.93,2964.08,2925.87,42200.0,0.0034000000000000002
20110613,2950.35,2940.39,2957.52,2921.75,38350.0,-0.0039000000000000003
20110614,2993.56,2947.66,3000.53,2943.53,55980.0,0.0146
20110615,2963.12,2984.96,2999.15,2963.11,44390.0,-0.0102
20110616,2917.58,2939.68,2946.82,2915.40,41140.0,-0.0154
20110617,2892.16,2916.41,2934.06,2891.01,41180.0,-0.0087
20110620,2874.90,2888.93,2896.08,2862.41,37990.0,-0.006
20110621,2909.07,2883.35,2909.57,2877.05,42040.0,0.011899999999999999
20110622,2908.58,2913.67,2921.03,2894.18,37320.0,-0.0002
20110623,2957.63,2899.01,2966.54,2888.68,45940.0,0.0169
20110624,3027.47,2946.61,3047.94,2944.05,85460.0,0.0236
20110627,3036.49,3028.50,3056.02,3019.24,65620.0,0.003
20110628,3041.73,3040.18,3046.80,3014.00,55770.0,0.0017000000000000001
20110629,3000.17,3039.05,3043.82,2999.95,53480.0,-0.0137
20110630,3044.09,3003.23,3058.62,3003.23,62500.0,0.0146
20110701,3049.74,3052.12,3071.21,3034.07,56770.0,0.0019
20110704,3121.98,3064.93,3124.58,3064.93,80460.0,0.023700000000000002
20110705,3122.50,3122.90,3128.53,3105.09,67760.0,0.0002
20110706,3113.71,3116.12,3116.12,3084.83,61560.0,-0.0028000000000000004
20110707,3101.68,3123.29,3140.10,3101.10,71810.0,-0.0039000000000000003
20110708,3109.18,3105.49,3124.39,3093.37,51280.0,0.0024
20110711,3113.21,3097.87,3121.00,3086.26,47920.0,0.0013
20110712,3056.91,3089.14,3090.10,3054.80,57110.0,-0.0181
20110713,3106.25,3060.42,3108.50,3060.42,54110.0,0.0161
20110714,3115.74,3112.59,3126.15,3092.47,60320.0,0.0031
20110715,3128.89,3105.50,3130.78,3097.34,61550.0,0.0042
20110718,3122.60,3131.80,3137.92,3113.67,60690.0,-0.002
20110719,3095.12,3108.47,3109.92,3088.38,53390.0,-0.0088
20110720,3091.57,3113.70,3119.54,3071.85,44120.0,-0.0011
20110721,3059.14,3092.27,3099.28,3058.26,44090.0,-0.0105
20110722,3067.99,3066.19,3083.19,3059.60,37260.0,0.0029
20110725,2968.29,3050.90,3050.90,2958.88,67180.0,-0.0325
20110726,2977.77,2965.72,2980.86,2957.61,43520.0,0.0032
20110727,3000.05,2961.58,3002.69,2951.52,48390.0,0.0075
20110728,2981.00,2973.64,2984.38,2956.71,48140.0,-0.0063
20110729,2972.08,2981.02,2995.97,2948.08,46300.0,-0.003
20110801,2977.72,2969.11,2991.05,2958.83,33890.0,0.0019
20110802,2956.38,2958.85,2958.85,2919.01,38980.0,-0.0072
20110803,2954.87,2930.19,2969.13,2927.10,38670.0,-0.0005
20110804,2960.31,2962.91,2983.01,2951.84,32990.0,0.0018
20110805,2897.42,2881.74,2916.41,2868.16,49320.0,-0.0212
20110808,2793.90,2864.51,2888.77,2747.97,71520.0,-0.035699999999999996
20110809,2798.19,2720.95,2812.77,2697.06,69840.0,0.0015
20110810,2824.12,2845.35,2858.55,2820.12,58660.0,0.009300000000000001
20110811,2866.92,2779.72,2867.31,2777.76,59000.0,0.0152
20110812,2875.36,2881.55,2894.22,2868.87,57200.0,0.0029
20110815,2917.88,2883.17,2917.88,2870.19,59880.0,0.0148
20110816,2897.58,2920.83,2932.14,2888.33,50960.0,-0.006999999999999999
20110817,2886.01,2893.85,2910.84,2881.63,39180.0,-0.004
20110818,2834.25,2887.10,2890.00,2832.27,40770.0,-0.0179
20110819,2807.66,2789.35,2814.10,2782.56,43260.0,-0.009399999999999999
20110822,2777.79,2809.33,2829.69,2768.42,34210.0,-0.0106
20110823,2821.00,2788.70,2821.00,2777.29,32619.999999999996,0.015600000000000001
20110824,2810.02,2834.58,2845.47,2804.82,35300.0,-0.0039000000000000003
20110825,2903.84,2818.70,2904.44,2815.91,72220.0,0.0334
20110826,2901.22,2889.38,2907.40,2876.83,45600.0,-0.0009
20110829,2852.81,2875.78,2875.78,2847.48,44270.0,-0.0167
20110830,2841.74,2875.14,2901.73,2838.33,43140.0,-0.0039000000000000003
20110831,2846.78,2843.99,2855.30,2823.77,32110.0,0.0018
20110901,2834.53,2852.39,2869.25,2825.96,30120.0,-0.0043
20110902,2803.85,2828.84,2836.62,2790.77,29320.0,-0.0108
20110905,2743.82,2780.83,2780.83,2743.38,32009.999999999996,-0.021400000000000002
20110906,2723.30,2727.75,2745.36,2711.07,29710.0,-0.0075
20110907,2779.09,2738.79,2779.20,2730.05,33270.0,0.020499999999999997
20110908,2756.11,2788.83,2789.11,2755.80,26840.0,-0.0083
20110909,2751.09,2770.15,2796.35,2739.62,27070.0,-0.0018
20110913,2720.28,2712.44,2726.18,2698.66,26710.0,-0.011200000000000002
20110914,2733.11,2729.26,2736.91,2677.13,30430.0,0.004699999999999999
20110915,2729.05,2734.55,2754.19,2728.91,31170.0,-0.0015
20110916,2733.99,2744.22,2755.89,2728.99,27560.0,0.0018
20110919,2679.27,2718.32,2718.32,2678.80,29090.0,-0.02
20110920,2689.84,2675.04,2702.28,2664.10,25600.0,0.0039000000000000003
20110921,2771.01,2691.70,2778.35,2677.35,56190.0,0.0302
20110922,2685.69,2745.15,2754.92,2684.94,47100.0,-0.0308
20110923,2669.48,2644.29,2681.23,2631.43,42590.0,-0.006
20110926,2610.92,2645.24,2679.56,2603.11,39180.0,-0.0219
20110927,2637.88,2634.93,2652.56,2613.42,35020.0,0.0103
20110928,2610.59,2654.83,2660.10,2602.63,34170.0,-0.0103
20110929,2588.18,2593.56,2615.14,2577.29,37090.0,-0.0086
20110930,2581.35,2595.58,2607.57,2572.19,32049.999999999996,-0.0026
20111010,2557.08,2588.35,2595.32,2552.28,28330.0,-0.009399999999999999
20111011,2551.99,2625.16,2635.69,2526.65,45030.0,-0.002
20111012,2644.76,2537.40,2647.01,2523.34,65950.0,0.0364
20111013,2662.60,2636.86,2672.91,2629.41,60430.0,0.0067
20111014,2653.78,2655.36,2665.44,2629.88,38340.0,-0.0033
20111017,2666.95,2658.95,2687.10,2653.38,36160.0,0.005
20111018,2592.21,2646.84,2651.73,2589.20,39370.0,-0.027999999999999997
20111019,2583.08,2599.92,2617.41,2580.66,31120.0,-0.0034999999999999996
20111020,2520.53,2566.60,2570.10,2500.49,39840.0,-0.0242
20111021,2507.88,2522.26,2538.12,2504.69,29840.0,-0.005
20111024,2576.67,2517.06,2581.12,2501.96,46350.0,0.0274
20111025,2625.43,2572.71,2633.97,2560.05,57970.0,0.0189
20111026,2651.65,2613.27,2679.66,2611.01,73100.0,0.01
20111027,2657.48,2658.43,2672.84,2647.30,48820.0,0.0022
20111028,2709.02,2694.54,2729.14,2689.38,71640.0,0.0194
20111031,2695.31,2704.53,2709.32,2680.99,50410.0,-0.0051
20111101,2697.53,2672.51,2726.09,2669.05,55210.0,0.0008
20111102,2742.39,2658.55,2742.94,2653.72,64360.0,0.0166
20111103,2744.30,2752.63,2781.04,2743.20,84820.0,0.0007000000000000001
20111104,2763.75,2770.57,2781.99,2748.98,61960.0,0.0070999999999999995
20111107,2736.25,2750.99,2769.30,2733.17,45380.0,-0.01
20111108,2727.71,2745.06,2756.09,2723.69,47880.0,-0.0031
20111109,2751.65,2739.15,2755.81,2710.05,46880.0,0.0088
20111110,2699.59,2720.84,2729.57,2698.31,51170.0,-0.0189
20111111,2695.00,2705.24,2713.91,2685.10,36640.0,-0.0017000000000000001
20111114,2750.20,2717.54,2751.88,2714.86,46390.0,0.020499999999999997
20111115,2744.68,2746.77,2754.00,2732.91,41760.0,-0.002
20111116,2670.12,2745.86,2746.29,2659.15,55950.0,-0.027200000000000002
20111117,2662.02,2671.95,2687.83,2660.65,35250.0,-0.003
20111118,2606.49,2643.67,2646.21,2601.18,42420.0,-0.0209
